id,title,director,year,country,image,synopsis
1,MEAN GIRLS,"Samantha Jayne, Arturo Perez Jr. ", 2024,Country information not specified,https://images.mubicdn.net/images/film/391533/cache-920317-1699578312/image-w1280.jpg?size=400x,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
2,LOVE LIES BLEEDING,Rose Glass , 2024,Royaume-Uni,https://images.mubicdn.net/images/film/336296/cache-960722-1713260790/image-w1280.jpg?size=400x,"Lou, la gerante d'un gym, tombe eperdument amoureuse de Jackie, une culturiste ambitieuse en route vers Vegas pour y accomplir ses reves. Leur amour explosif les entraine malgre elles dans une spirale de violence, y melant du meme coup la famille de criminels de Lou."
3,PAUVRES CREATURES,Yorgos Lanthimos , 2023,Etats-Unis,https://images.mubicdn.net/images/film/293109/cache-873257-1706288578/image-w1280.jpg?size=400x,"L'evolution fantastique de Bella Baxter, jeune femme ramenee a la vie par le non conventionnel scientifique Dr Godwin Baxter. Sous la protection de Baxter, Bella est avide d'apprendre. Affamee de connaissances du monde, elle s'enfuit pour une aventure tourbillonnante a travers les continents."
4,ANATOMIE D'UNE CHUTE,Justine Triet , 2023,France,https://images.mubicdn.net/images/film/372157/cache-917735-1710502282/image-w1280.jpg?size=400x,"Sandra, Samuel et leur fils malvoyant de 11 ans, Daniel, vivent depuis un an loin de tout, a la montagne. Un jour, Samuel est retrouve mort au pied de leur maison. Une enquete pour mort suspecte est ouverte. Sandra est bientot inculpee malgre le doute : suicide ou homicide ?"
5,INSUBMERSIBLE,"Elizabeth Chai Vasarhelyi, Jimmy Chin ", 2023,Etats-Unis,https://images.mubicdn.net/images/film/296897/cache-895587-1690705009/image-w1280.jpg?size=400x,L'ancienne sportive de haut niveau Diana Nyad entreprend a 60 ans de realiser le reve le plus fou de sa vie : nager les 160 kilometres qui separent Cuba de la Floride.
6,24 HEURES A NEW-YORK,Vuk Lungulov-Klotz , 2023,Etats-Unis,https://images.mubicdn.net/images/film/364296/cache-836693-1670440326/image-w1280.jpg?size=400x,"Over the course of a single hectic day in New York City, three people from Fena's past are thrust back into his life. Having lost touch since transitioning from female to male, he navigates the new dynamics of old relationships while tackling the day-to-day challenges of living life in between."
7,BOTTOMS,Emma Seligman , 2023,Etats-Unis,https://images.mubicdn.net/images/film/300894/cache-853510-1706983275/image-w1280.jpg?size=400x,Two unpopular queer girls in their senior year start a fight club to try to impress and hook up with cheerleaders.
8,HOW TO BLOW UP A PIPELINE,Daniel Goldhaber , 2022,Etats-Unis,https://images.mubicdn.net/images/film/351754/cache-867827-1703774579/image-w1280.jpg?size=400x,"Xochitl's frustration with the climate crisis leads her to engage in symbolic acts of sabotage and property destruction. With radical determination, she assembles a crew of friends and strangers, each with their own struggles, to undertake a daring mission to destroy a pipeline in West Texas."
9,L'IMMENSITE,Emanuele Crialese , 2022,Italie,https://images.mubicdn.net/images/film/305451/cache-898644-1691688333/image-w1280.jpg?size=400x,"L'histoire d'amour entre Clara et ses enfants, qui se deroule a Rome dans les annees 70. Son aine ne s'identifie pas a son sexe biologique."
10,LES CINQ DIABLES,Lea Mysius , 2022,France,https://images.mubicdn.net/images/film/289223/cache-848672-1706604988/image-w1280.jpg?size=400x,"Vicky, petite fille etrange et solitaire, a un don : elle peut sentir et reproduire toutes les odeurs de son choix qu'elle collectionne dans des bocaux etiquetes avec soin. Elle a extrait en secret l'odeur de sa mere, Joanne, a qui elle voue un amour fou et exclusif, presque maladif."
11,BLUE JEAN,Georgia Oakley , 2022,Royaume-Uni,https://images.mubicdn.net/images/film/352271/cache-855968-1676487088/image-w1280.jpg?size=400x,"1988. In a climate of rampant homophobia, PE teacher Jean is forced to live a double life. A respected member of staff during the week; on the weekend she slips into Newcastle's gay scene. When a new student threatens to expose her, Jean is caught in a dilemma to protect her job and her integrity."
12,HEARTSTOPPER,Euros Lyn , 2022,Royaume-Uni,https://images.mubicdn.net/images/film/336997/cache-766384-1647681612/image-w1280.jpg?size=400x,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.
13,QUEER AS FOLK,Stephen Dunn , 2022,Etats-Unis,https://images.mubicdn.net/images/film/340992/cache-776451-1650968038/image-w1280.jpg?size=400x,It centers on a group of club-going friends who find support in the gay community following a tragedy.
14,PAPER GIRLS,Georgi Banks-Davies & 3 de plus, 2022,Etats-Unis,https://images.mubicdn.net/images/film/348395/cache-795799-1656726074/image-w1280.jpg?size=400x,"A few hours after 1988 Halloween night, four 12-year old girls have to face a mission. Trapped in a complicated conflict, they will travel in time to save the world."
15,HEARTBREAK HIGH,Gracie Otto & 3 de plus, 2022,Australie,https://images.mubicdn.net/images/film/318857/cache-716553-1663144648/image-w1280.jpg?size=400x,"A fresh look at Hartley High over 20 years on. With her new friends - outsiders Quinni and Darren - Amerie must repair her reputation, while navigating love, sex, and heartbreak. Reboot from 1994 TV Series"
16,MINX,Rachel Lee Goldenberg & 6 de plus, 2022,Etats-Unis,https://images.mubicdn.net/images/film/335117/cache-760991-1646069142/image-w1280.jpg?size=400x,"In 1970s Los Angeles, an earnest young feminist joins forces with a low-rent publisher to create the first erotic magazine for women."
17,BAD SISTERS,Rebecca Gatward & 2 de plus, 2022,Irlande,https://images.mubicdn.net/images/film/351017/cache-802213-1658961181/image-w1280.jpg?size=400x,"Based on the Flemish series Clan, this re-imagining is set in Ireland and follows the Garvey sisters, who are bound together by the death of their parents and a promise to protect one another."
18,FIRST KILL,Jet Wilkinson , 2022,Etats-Unis,https://images.mubicdn.net/images/film/343057/cache-781720-1652406423/image-w1280.jpg?size=400x,"Falling in love is tricky for teens Juliette and Calliope: One's a vampire, the other's a vampire hunter and both are ready to make their first kill."
19,BLACK PANTHER: WAKANDA FOREVER,Ryan Coogler , 2022,Etats-Unis,https://images.mubicdn.net/images/film/252386/cache-801573-1679915625/image-w1280.jpg?size=400x,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.
20,WEDNESDAY,Tim Burton & 2 de plus, 2022,Etats-Unis,https://images.mubicdn.net/images/film/282759/cache-789296-1671520023/image-w1280.jpg?size=400x,"Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart and solve the mystery that embroiled her parents."
21,ARDENTE*X*S,Patrick Muroni , 2022,Suisse,https://images.mubicdn.net/images/film/336923/cache-766208-1647642069/image-w1280.jpg?size=400x,"Un collectif suisse de femmes et de personnes queers se lance dans la production video en tant que pornographes, ayant a coeur de redefinir l'idee que l'on se fait de l'industrie du X. Les participant*e*s produisent des films non genres, ethiques, centres sur une sexualite saine et affranchie."
22,SIRENS,Rita Baghdadi , 2022,Liban,https://images.mubicdn.net/images/film/293934/cache-643410-1639140729/image-w1280.jpg?size=400x,"On the outskirts of Beirut, a young women and her bandmates navigate friendship, identity and a future spiraling quickly out of control in their pursuit of becoming thrash metal rock stars. Sirens is a gothic coming-of-age documentary currently in late production."
23,NELLY & NADINE,Magnus Gertten , 2022,Norvege,https://images.mubicdn.net/images/film/333251/cache-755289-1644054358/image-w1280.jpg?size=400x,"Nelly and Nadine is the unlikely love story between two women falling in love on Christmas Eve, 1944, in the Ravensbruck concentration camp. For many years their relationship was kept a secret."
24,ESTHER NEWTON MADE ME GAY,Jean Carlomusto , 2022,Etats-Unis,https://images.mubicdn.net/images/film/335261/cache-761475-1646251250/image-w1280.jpg?size=400x,"Esther Newton was drawn to the drag scene as a student in the 1950s. The film's amazing archive footage encompasses gay liberation, the feminist sex wars, AIDS activism and life on the safe haven of Fire Island."
25,SO DAMN EASY GOING,Christoffer Sandler , 2022,Norvege,https://images.mubicdn.net/images/film/329126/cache-743356-1641910331/image-w1280.jpg?size=400x,"Joanna's brain is like an analogue twitter, also known as ADHD. When her medicine runs out she tries to handle the stress for money, the consequences of an unexpected drug deal and her blustery feelings for Audrey."
26,SISSY,"Hannah Barlow, Kane Senes ", 2022,Australie,https://images.mubicdn.net/images/film/335212/cache-764038-1653430926/image-w1280.jpg?size=400x,"Teen best friends Cecilia and Emma, after a decade run into each other. Cecilia is invited on Emma's bachelorette weekend where she gets stuck in a remote cabin with her high school bully with a taste for revenge."
27,PETIT MAL,Ruth Caudeli , 2022,Colombie,https://images.mubicdn.net/images/film/337834/cache-768753-1648560053/image-w1280.jpg?size=400x,"Have you ever met a throuple? We are opening our home's doors to show you how is our life, how we, as a women's throuple, live the absence of one of us. This real fiction show us how we deal with loneliness, jealousy and how we have to adapt ourselves when three become two."
28,MAYBE SOMEDAY,Michelle Ehlen , 2022,Etats-Unis,https://images.mubicdn.net/images/film/336213/cache-764108-1665450647/image-w1280.jpg?size=400x,"In the midst of separating from her wife, Jay attempts to move across the country to start her life over again as she grapples with the inevitable cycles of love, loss, and everything in between."
29,MARS ONE,Gabriel Martins , 2022,Bresil,https://images.mubicdn.net/images/film/328511/cache-741626-1639087658/image-w1280.jpg?size=400x,"The Martins family are optimistic dreamers, quietly leading their lives in the margins of a major Brazilian city following the disappointing inauguration of a far-right extremist president. A lower-middle-class Black family, they feel the strain of their new reality as the political dust settles."
30,I'LL SHOW YOU MINE,Megan Griffiths , 2022,Etats-Unis,https://images.mubicdn.net/images/film/338767/cache-771112-1649405835/image-w1280.jpg?size=400x,"An author who has made her career by examining her own trauma interviews her nephew about his history of exploitation as a gender-nonconforming model and pansexual poster boy. But to get to the most hidden parts of his story, she must reciprocate by digging into areas she has scrupulously manage..."
31,LOVING HIGHSMITH,Eva Vitija , 2022,Suisse,https://images.mubicdn.net/images/film/312465/cache-697212-1644989571/image-w1280.jpg?size=400x,"Based on Patricia Highsmith's personal writings and accounts of her family and lovers, the film casts new light on the famous thriller writer's life and oeuvre, permeated by themes of love and its defining influence on identity."
32,LIGHTYEAR,Angus MacLane , 2022,Etats-Unis,https://images.mubicdn.net/images/film/287480/cache-618411-1679915631/image-w1280.jpg?size=400x,"While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source."
33,GIRL PICTURE,Alli Haapasalo , 2022,Finlande,https://images.mubicdn.net/images/film/328514/cache-741635-1639088543/image-w1280.jpg?size=400x,"Best friends Mimmi and Ronkko work after school at a foodcourt smoothie kiosk, frankly swapping stories of their frustrations and expectations regarding love and sex."
34,THREE TIDY TIGERS TIED A TIE TIGHTER,Gustavo Vinagre , 2022,Bresil,https://images.mubicdn.net/images/film/331822/cache-750919-1642446082/image-w1280.jpg?size=400x,Gustavo Vinagre shows young queer people in Sao Paulo defying both the virus and the political failure of their government.
35,A LEAGUE OF THEIR OWN,Jamie Babbit & 5 de plus, 2022,Etats-Unis,https://images.mubicdn.net/images/film/342032/cache-779078-1657846847/image-w1280.jpg?size=400x,"A League of Their Own evokes the joyful spirit of Penny Marshall's beloved classic, while widening the lens to tell the story of an entire generation of women who dreamed of playing professional baseball."
36,CRUSH,Sammi Cohen , 2022,Etats-Unis,https://images.mubicdn.net/images/film/337939/cache-777698-1651281296/image-w1280.jpg?size=400x,An aspiring young artist joins her high school track team and later discovers what real love feels like when she finds herself falling for an unexpected teammate.
37,BADHAAI DO,Harshavardhan Kulkarni , 2022,Inde,https://images.mubicdn.net/images/film/332749/cache-753758-1643524376/image-w1280.jpg?size=400x,Shardul Thakur and Suman Singh enter into a marriage of convenience but chaos ensues when her girlfriend comes to stay with them.
38,THE SYED FAMILY XMAS EVE GAME NIGHT,Fawzia Mirza , 2021,Etats-Unis,https://images.mubicdn.net/images/film/314694/cache-704480-1653454962/image-w1280.jpg?size=400x,All cards are on the table when a queer Pakistani Muslim woman brings her Puerto Rican girlfriend home for the first time on the family's annual game night.
39,RESERVATION DOGS,Sterlin Harjo & 4 de plus, 2021,Etats-Unis,https://images.mubicdn.net/images/film/252008/cache-622445-1608664127/image-w1280.jpg?size=400x,A coming-of-age drama that will follow the story of four teenagers in a Native American housing project in Oklahoma who commit petty crimes.
40,THE FALLOUT,Megan Park , 2021,Etats-Unis,https://images.mubicdn.net/images/film/294299/cache-644635-1613082956/image-w1280.jpg?size=400x,"High schooler Vada navigates the emotional fallout she experiences in the wake of a school tragedy. Relationships with her family, friends and view of the world are forever altered."
41,PURE GRIT,Kim Bartley , 2021,Etats-Unis,https://images.mubicdn.net/images/film/341136/cache-776833-1651051154/image-w1280.jpg?size=400x,"Pure Grit is both a thrilling tale of extreme bareback horse racing, and an intimate love story. Chronicling three years in the life of a young Native American bareback horse racer, her dogged determination, and the relationships that sustain her. Sharmaine dreams of becoming a champion."
42,HACKS,Lucia Aniello & 2 de plus, 2021,Etats-Unis,https://images.mubicdn.net/images/film/303622/cache-671198-1621684167/image-w1280.jpg?size=400x,"Explores a dark mentorship that forms between Deborah Vance, a legendary Las Vegas comedian, and an entitled, outcast 25-year-old."
43,MONSTERDYKE,"Kaye Adelaide, Mariel Sharp ", 2021,Canada,https://images.mubicdn.net/images/film/312723/cache-698250-1633416280/image-w1280.jpg?size=400x,"A transgressive portrait of desire shot on 16mm, MONSTER DYKE examines trans-lesbian love and longing with humour, heat, puppetry and a subversive twist."
44,STATION ELEVEN,Hiro Murai & 3 de plus, 2021,Etats-Unis,https://images.mubicdn.net/images/film/323967/cache-731211-1694521876/image-w1280.jpg?size=400x,Survivors of a devastating flu pandemic try to rebuild their lives after losing everything.
45,FANNY: THE RIGHT TO ROCK,Bobbi Jo Hart , 2021,Canada,https://images.mubicdn.net/images/film/259916/cache-522389-1616695589/image-w1280.jpg?size=400x,"Ferocious female rockers Fanny shattered glass ceilings in the '70s, collecting fans like David Bowie before being buried in retro record bins. Fifty years later, they reunite with a new record deal and a chance to rewrite history."
46,THE SEX LIVES OF COLLEGE GIRLS,Kabir Akhtar & 2 de plus, 2021,Etats-Unis,https://images.mubicdn.net/images/film/319086/cache-717022-1632729287/image-w1280.jpg?size=400x,"Three 18-year-old freshman roommates at Evermore College in Vermont. A bundle of contradictions and hormones, these sexually active college girls are equal parts lovable and infuriating."
47,FRAGRANCE OF THE FIRST FLOWER,Angel I-Han Teng , 2021,Taiwan,https://images.mubicdn.net/images/film/324771/cache-731750-1652862670/image-w1280.jpg?size=400x,"Reveals the love and lust between two women, the conflicts between gay family and traditional stereotypes. It finds back the forgotten love with a romantic touch."
48,SORT OF,Fab Filippo & 4 de plus, 2021,Canada,https://images.mubicdn.net/images/film/315049/cache-705431-1639201141/image-w1280.jpg?size=400x,"Follows a gender-fluid millennial who straddles various identities, exposing the identities and labels that are no longer applicable."
49,BESTIES,Marion Desseigne-Ravel , 2021,France,https://images.mubicdn.net/images/film/313537/cache-700876-1627639568/image-w1280.jpg?size=400x,"Paris. Nedjma, a teenager living with her mom and sister, spends the summer with her squad. She sees her life turned upside down when she meets Zina, coming from the opposite gang. They are rivals in broad daylight , but lovers in secret."
50,ULTRAVIOLETTE AND THE BLOOD-SPITTERS GANG,Robin Hunzinger , 2021,France,https://images.mubicdn.net/images/film/329368/cache-744119-1649456784/image-w1280.jpg?size=400x,"The passionate letters that a girl called Marcelle wrote to her childhood sweetheart from a sanatorium during the interwar period evoke the image of a rebel, way ahead of her time, who goes her own way with a group of kindred spirits."
51,THE WHITE LOTUS,Mike White , 2021,Etats-Unis,https://images.mubicdn.net/images/film/282502/cache-684123-1629255689/image-w1280.jpg?size=400x,The White Lotus follows the vacations of various hotel guests over the span of a week as they relax and rejuvenate in paradise.
52,RIDE OR DIE,Ryuichi Hiroki , 2021,Japon,https://images.mubicdn.net/images/film/294682/cache-661894-1617214276/image-w1280.jpg?size=400x,"Rei is a lesbian in her 20s who, upon learning that her former classmate Nanae is suffering brutal domestic violence from her husband, decides to kill him to show her love for Nanae."
53,BENEDETTA,Paul Verhoeven , 2021,France,https://images.mubicdn.net/images/film/176949/cache-367116-1656668428/image-w1280.jpg?size=400x,"Une scandaleuse liaison lesbienne ebranle un couvent de la Toscane du XVIIe siecle. Benedetta, une religieuse en proie a des visions de Jesus sensuelles et violentes, eveille les soupcons de Soeur Felicita. La mefiance grandit lorsque Bartolomea commence a etre dangereusement attiree par Benedetta."
54,MADRES PARALELAS,Pedro Almodovar , 2021,Espagne,https://images.mubicdn.net/images/film/271998/cache-818108-1664551161/image-w1280.jpg?size=400x,"Deux femmes, Janis et Ana, se retrouvent dans une chambre d'hopital ou elles vont accoucher. Toutes deux sont celibataires et sont tombees enceintes par accident. Janis, la plus agee, est toute a son bonheur. Ana, encore adolescente, demeure traumatisee par l'experience."
55,ALL OUR FEARS,"Lukasz Ronduda, Lukasz Gutt ", 2021,Pologne,https://images.mubicdn.net/images/film/319169/cache-717255-1643398936/image-w1280.jpg?size=400x,"Daniel is respected by his village community as long as he bravely supports the fight for their affairs. He is in love with the boy next door, Olek, who is not ready to reveal his sexual identity."
56,"MA BELLE, MY BEAUTY",Marion Hill , 2021,France,https://images.mubicdn.net/images/film/287908/cache-619860-1627569140/image-w1280.jpg?size=400x,A surprise reunion in southern France reignites passions and jealousies between two women who were formerly polyamorous lovers.
57,SHEER QORMA,Faraz Arif Ansari , 2021,Inde,https://images.mubicdn.net/images/film/257664/cache-514580-1620896576/image-w1280.jpg?size=400x,"Sheer Qorma is a story of belonging and acceptance, identity and family told through courageous, queer women who choose to embrace a love that exists beyond their personal beliefs and social moralities."
